Shape,Flour Type,Weight,Function Type,Ingredients,Icing Type,Filling,Dietary Preference,Color Theme,Toppings,Cake Layers,Texture,Sweetness Level,Decorations,Serving Size,Price Range,Allergens,Shelf Life
Star,Almond,Custom,Corporate,"Ganache, Fruits, Mousse, Nuts",Whipped Cream,Strawberry Jam,Keto-Friendly,Bright,"Sprinkles, Fruits, Chocolate Chips",Double,Moist,Extra Sweet,"Candied Fruits, Fondant Figures, Chocolate Shavings",Medium,Budget,Dairy,3 Days
Oval,Gluten-Free,2.5kg,Anniversary,"Chocolate, Fondant, Mousse, Ganache",Royal Icing,Chocolate,Sugar-Free,Silver,"Fruits, Caramel Drizzle, Chocolate Chips",Single,Soft,High,"Chocolate Shavings, Edible Glitter, Gold Leaf",Large,Budget,Soy,1 Week
Round,Marble,2kg,Engagement,"Fruits, Mousse, Nuts, Buttercream, Chocolate",Ganache,Chocolate,Low-Carb,Gold,"Marshmallows, Edible Flowers",Multi-Tier,Dense,Medium,"Gold Leaf, Piping Art, Candied Fruits",Large,Premium,"Gluten, Nuts",3 Days
Heart,Vanilla,4kg,Festival,"Ganache, Cream Cheese",Ganache,Caramel,Sugar-Free,Bright,Fruits,Single,Crispy,Medium,"Fondant Figures, Gold Leaf",Large,Premium,"Nuts, Gluten",Custom
Square,Almond,1.5kg,Birthday,"Cream Cheese, Nuts, Fruits, Chocolate, Ganache",Whipped Cream,Raspberry Mousse,Regular,Silver,"Caramel Drizzle, Nuts",Single,Fluffy,Medium,Piping Art,Medium,Budget,"Soy, Nuts",Custom
Star,Vanilla,2kg,Baby Shower,"Cream Cheese, Ganache, Chocolate, Fruits, Buttercream",Fondant,Strawberry Jam,Vegan,Gold,"Chocolate Chips, Marshmallows, Nuts",Multi-Tier,Moist,High,"Candied Fruits, Gold Leaf",Small,Budget,"Nuts, Dairy",3 Days
Rectangle,Marble,0.5kg,Birthday,"Chocolate, Fondant, Nuts",Buttercream,Vanilla Custard,Regular,Bright,"Chocolate Chips, Caramel Drizzle, Sprinkles",Double,Crispy,Low,"Chocolate Shavings, Edible Glitter",Medium,Budget,Dairy,Custom
Tiered,Almond,4kg,Birthday,"Nuts, Buttercream, Ganache",Cream Cheese Frosting,Fruit Compote,Low-Carb,Rainbow,"Edible Flowers, Caramel Drizzle",Double,Dense,Medium,"Candied Fruits, Piping Art",Party Size,Luxury,"Gluten, Dairy",3 Days
Hexagon,Marble,5kg,Anniversary,"Fruits, Nuts, Caramel, Mousse",Royal Icing,Vanilla Custard,Vegan,Rainbow,"Sprinkles, Fruits",Multi-Tier,Crispy,Medium,"Gold Leaf, Edible Glitter, Piping Art",Party Size,Luxury,"None, Gluten",1 Week
Dome,Vanilla,Custom,Graduation,"Cream Cheese, Fondant",Whipped Cream,Chocolate,Regular,Pastel,"Edible Flowers, Sprinkles, Marshmallows",Double,Moist,High,Chocolate Shavings,Small,Luxury,"Soy, Dairy",Custom
Round,Almond,5kg,Baby Shower,"Fruits, Fondant, Chocolate, Caramel, Buttercream",Fondant,Caramel,Regular,Dark,"Caramel Drizzle, Edible Flowers, Fruits",Multi-Tier,Crispy,Low,"Gold Leaf, Candied Fruits, Fondant Figures",Small,Budget,None,Custom
Tiered,Red Velvet,1.5kg,Festival,"Nuts, Ganache",Cream Cheese Frosting,Fruit Compote,Regular,Dark,"Caramel Drizzle, Sprinkles, Marshmallows",Single,Crispy,Extra Sweet,"Candied Fruits, Gold Leaf, Piping Art",Small,Luxury,None,1 Day
Square,Coconut,1kg,Graduation,"Nuts, Mousse, Buttercream, Ganache",Fondant,Raspberry Mousse,Eggless,Dark,"Fruits, Sprinkles",Multi-Tier,Fluffy,Extra Sweet,Piping Art,Medium,Premium,None,1 Day
Heart,Chocolate,1.5kg,Festival,"Ganache, Mousse",Whipped Cream,Strawberry Jam,Sugar-Free,Silver,Edible Flowers,Multi-Tier,Moist,Extra Sweet,"Candied Fruits, Edible Glitter, Chocolate Shavings",Medium,Luxury,Dairy,1 Week
Heart,Red Velvet,Custom,Birthday,"Caramel, Nuts, Fruits",Buttercream,Chocolate,Gluten-Free,Monochrome,"Caramel Drizzle, Sprinkles, Nuts",Multi-Tier,Fluffy,Medium,"Chocolate Shavings, Edible Glitter, Fondant Figures",Medium,Premium,Gluten,1 Week
Square,Coconut,1.5kg,Wedding,"Cream Cheese, Mousse, Fondant, Buttercream",Cream Cheese Frosting,Fruit Compote,Eggless,Dark,"Edible Flowers, Nuts",Double,Moist,Low,"Piping Art, Chocolate Shavings, Edible Glitter",Party Size,Premium,"Nuts, Gluten",3 Days
Round,Chocolate,3kg,Anniversary,"Ganache, Cream Cheese, Caramel, Nuts",Royal Icing,Vanilla Custard,Eggless,Gold,Sprinkles,Multi-Tier,Fluffy,Extra Sweet,"Fondant Figures, Edible Glitter",Medium,Luxury,"Gluten, None",1 Day
Tiered,Chocolate,0.5kg,Festival,"Fondant, Ganache, Buttercream, Cream Cheese",Ganache,Vanilla Custard,Keto-Friendly,Monochrome,"Chocolate Chips, Nuts",Multi-Tier,Dense,Low,"Edible Glitter, Chocolate Shavings, Candied Fruits",Large,Luxury,"Soy, Dairy",Custom
Square,Coconut,2.5kg,Birthday,"Mousse, Caramel, Buttercream",Royal Icing,Fruit Compote,Keto-Friendly,Monochrome,"Marshmallows, Nuts, Caramel Drizzle",Double,Moist,Medium,Gold Leaf,Small,Standard,Soy,1 Week
Star,Red Velvet,2.5kg,Baby Shower,"Cream Cheese, Caramel, Chocolate, Nuts",Fondant,Chocolate,Eggless,Monochrome,"Sprinkles, Caramel Drizzle",Single,Crispy,Medium,"Fondant Figures, Gold Leaf, Candied Fruits",Small,Premium,Soy,Custom
Star,Chocolate,3kg,Wedding,"Ganache, Cream Cheese, Mousse",Buttercream,Fruit Compote,Vegan,Rainbow,"Edible Flowers, Nuts",Single,Crispy,Low,"Chocolate Shavings, Edible Glitter, Piping Art",Small,Standard,Soy,1 Week
Rectangle,Marble,4kg,Festival,"Buttercream, Fondant, Fruits, Ganache",Royal Icing,Nutella,Vegan,Gold,"Sprinkles, Chocolate Chips",Double,Crispy,Low,"Chocolate Shavings, Piping Art",Party Size,Standard,"Dairy, Soy",3 Days
Tiered,Chocolate,4kg,Festival,"Buttercream, Caramel, Fondant",Royal Icing,Caramel,Low-Carb,Silver,"Sprinkles, Nuts, Marshmallows",Double,Moist,Low,Edible Glitter,Large,Premium,Dairy,Custom
Square,Almond,1kg,Engagement,"Nuts, Ganache, Chocolate, Buttercream, Mousse",Royal Icing,Vanilla Custard,Regular,Rainbow,Marshmallows,Multi-Tier,Fluffy,Low,"Candied Fruits, Edible Glitter",Large,Standard,"Nuts, Dairy",1 Day
Hexagon,Vanilla,4kg,Festival,"Ganache, Fondant, Chocolate, Buttercream, Caramel",Fondant,Raspberry Mousse,Keto-Friendly,Pastel,"Caramel Drizzle, Marshmallows, Chocolate Chips",Double,Dense,Extra Sweet,Edible Glitter,Medium,Luxury,"Gluten, Nuts",1 Day
Square,Pistachio,2.5kg,Baby Shower,"Chocolate, Ganache, Cream Cheese, Fruits, Nuts",Royal Icing,Caramel,Low-Carb,Bright,Chocolate Chips,Single,Soft,Low,Piping Art,Small,Premium,"Nuts, None",3 Days
Oval,Carrot,2.5kg,Baby Shower,"Fruits, Buttercream, Mousse",Fondant,Vanilla Custard,Regular,Silver,"Edible Flowers, Nuts, Caramel Drizzle",Single,Crispy,Extra Sweet,"Fondant Figures, Piping Art, Edible Glitter",Large,Premium,Soy,Custom
Heart,Marble,2kg,Festival,"Cream Cheese, Mousse, Buttercream, Fruits",Buttercream,Nutella,Low-Carb,Rainbow,"Fruits, Sprinkles, Nuts",Multi-Tier,Crispy,High,Candied Fruits,Small,Premium,"None, Soy",1 Day
Tiered,Chocolate,0.5kg,Corporate,"Mousse, Fondant, Fruits, Caramel, Chocolate",Buttercream,Vanilla Custard,Eggless,Dark,Nuts,Double,Moist,High,"Edible Glitter, Gold Leaf",Medium,Budget,Soy,Custom
Round,Coconut,2kg,Corporate,"Cream Cheese, Fruits, Nuts",Cream Cheese Frosting,Nutella,Eggless,Rainbow,"Fruits, Chocolate Chips",Multi-Tier,Dense,Medium,"Edible Glitter, Fondant Figures, Candied Fruits",Medium,Budget,"Dairy, Gluten",1 Day
Heart,Carrot,4kg,Graduation,"Nuts, Cream Cheese",Buttercream,Vanilla Custard,Low-Carb,Bright,Sprinkles,Single,Fluffy,Low,"Piping Art, Fondant Figures",Small,Standard,Dairy,Custom
Square,Almond,2kg,Baby Shower,"Mousse, Ganache, Nuts, Buttercream",Royal Icing,Chocolate,Low-Carb,Bright,"Fruits, Marshmallows, Edible Flowers",Multi-Tier,Crispy,Medium,"Fondant Figures, Candied Fruits",Large,Budget,None,3 Days
Rectangle,Chocolate,2.5kg,Corporate,"Mousse, Ganache, Buttercream, Nuts",Buttercream,Vanilla Custard,Low-Carb,Monochrome,"Marshmallows, Caramel Drizzle, Nuts",Double,Soft,High,Candied Fruits,Party Size,Budget,None,3 Days
Round,Marble,5kg,Corporate,"Fondant, Chocolate, Ganache, Fruits, Cream Cheese",Ganache,Caramel,Eggless,Rainbow,Fruits,Double,Fluffy,High,"Gold Leaf, Fondant Figures, Piping Art",Large,Luxury,"Nuts, Soy",1 Day
Heart,Red Velvet,0.5kg,Engagement,"Fondant, Ganache",Ganache,Strawberry Jam,Keto-Friendly,Bright,"Nuts, Caramel Drizzle",Double,Fluffy,High,Piping Art,Large,Budget,Nuts,1 Day
Oval,Red Velvet,2.5kg,Wedding,"Fondant, Caramel",Buttercream,Vanilla Custard,Gluten-Free,Gold,Sprinkles,Multi-Tier,Fluffy,Medium,Candied Fruits,Party Size,Premium,Dairy,Custom
Round,Almond,0.5kg,Birthday,"Caramel, Mousse, Fruits, Chocolate",Buttercream,Raspberry Mousse,Sugar-Free,Rainbow,"Sprinkles, Marshmallows, Caramel Drizzle",Double,Moist,Extra Sweet,"Piping Art, Fondant Figures",Small,Luxury,Nuts,3 Days
Hexagon,Coconut,2.5kg,Baby Shower,"Ganache, Fruits",Royal Icing,Chocolate,Regular,Monochrome,Chocolate Chips,Multi-Tier,Fluffy,Medium,"Candied Fruits, Fondant Figures, Chocolate Shavings",Party Size,Budget,Nuts,Custom
Star,Pistachio,5kg,Corporate,"Mousse, Caramel, Fondant",Buttercream,Raspberry Mousse,Low-Carb,Bright,Fruits,Multi-Tier,Crispy,Low,"Edible Glitter, Chocolate Shavings, Fondant Figures",Party Size,Budget,"None, Gluten",1 Week
Rectangle,Almond,1kg,Baby Shower,"Fruits, Cream Cheese",Ganache,Chocolate,Eggless,Pastel,"Nuts, Chocolate Chips, Marshmallows",Double,Soft,High,Edible Glitter,Medium,Budget,"Nuts, None",1 Day
Square,Marble,0.5kg,Wedding,"Caramel, Ganache, Cream Cheese, Fruits, Buttercream",Fondant,Nutella,Gluten-Free,Monochrome,"Nuts, Marshmallows, Caramel Drizzle",Double,Fluffy,Low,"Candied Fruits, Fondant Figures, Chocolate Shavings",Small,Premium,Nuts,Custom
Rectangle,Pistachio,3kg,Anniversary,"Fondant, Cream Cheese",Royal Icing,Caramel,Keto-Friendly,Silver,"Marshmallows, Chocolate Chips, Fruits",Multi-Tier,Soft,Medium,Fondant Figures,Large,Standard,None,1 Week
Tiered,Red Velvet,1.5kg,Anniversary,"Fondant, Nuts, Fruits",Cream Cheese Frosting,Strawberry Jam,Sugar-Free,Rainbow,Caramel Drizzle,Single,Dense,Medium,"Piping Art, Gold Leaf, Fondant Figures",Party Size,Premium,"Nuts, Gluten",1 Week
Tiered,Marble,4kg,Graduation,"Ganache, Chocolate, Caramel",Fondant,Chocolate,Gluten-Free,Monochrome,"Sprinkles, Caramel Drizzle",Multi-Tier,Crispy,Extra Sweet,"Candied Fruits, Fondant Figures, Edible Glitter",Party Size,Luxury,None,1 Day
Heart,Red Velvet,1kg,Wedding,"Chocolate, Fondant",Ganache,Caramel,Low-Carb,Bright,"Nuts, Caramel Drizzle",Single,Fluffy,Medium,"Edible Glitter, Fondant Figures",Small,Luxury,"Gluten, None",1 Day
Star,Gluten-Free,5kg,Baby Shower,"Caramel, Cream Cheese",Cream Cheese Frosting,Nutella,Keto-Friendly,Bright,Caramel Drizzle,Single,Moist,Medium,Edible Glitter,Medium,Budget,Gluten,Custom
Round,Pistachio,4kg,Birthday,"Ganache, Caramel, Fondant, Cream Cheese",Cream Cheese Frosting,Raspberry Mousse,Gluten-Free,Rainbow,Edible Flowers,Multi-Tier,Fluffy,Medium,"Fondant Figures, Piping Art, Chocolate Shavings",Party Size,Premium,Soy,1 Week
Star,Almond,4kg,Corporate,"Cream Cheese, Fruits",Whipped Cream,Caramel,Eggless,Pastel,Caramel Drizzle,Multi-Tier,Crispy,Low,Fondant Figures,Large,Luxury,"Gluten, None",Custom
Rectangle,Marble,2kg,Anniversary,"Buttercream, Cream Cheese, Ganache, Fondant",Fondant,Nutella,Regular,Bright,"Sprinkles, Marshmallows",Multi-Tier,Soft,High,"Candied Fruits, Piping Art",Party Size,Budget,None,3 Days
Heart,Pistachio,4kg,Graduation,"Chocolate, Nuts, Cream Cheese, Ganache, Fondant",Royal Icing,Nutella,Vegan,Bright,Nuts,Single,Moist,High,"Chocolate Shavings, Piping Art, Edible Glitter",Medium,Luxury,None,3 Days
Oval,Gluten-Free,2.5kg,Engagement,"Nuts, Ganache, Caramel",Whipped Cream,Strawberry Jam,Eggless,Gold,"Chocolate Chips, Nuts, Fruits",Double,Moist,Low,"Fondant Figures, Chocolate Shavings",Medium,Luxury,"Dairy, Soy",3 Days
Heart,Vanilla,2kg,Graduation,"Buttercream, Fruits, Chocolate",Fondant,Fruit Compote,Eggless,Pastel,"Nuts, Caramel Drizzle, Marshmallows",Single,Moist,Extra Sweet,"Chocolate Shavings, Fondant Figures",Large,Luxury,Gluten,Custom
Rectangle,Red Velvet,2kg,Corporate,"Chocolate, Ganache, Caramel, Fondant, Fruits",Whipped Cream,Chocolate,Eggless,Rainbow,"Marshmallows, Nuts, Chocolate Chips",Single,Crispy,High,Piping Art,Medium,Premium,"Gluten, Soy",3 Days
Oval,Vanilla,2.5kg,Anniversary,"Mousse, Fruits, Cream Cheese, Nuts, Ganache",Fondant,Fruit Compote,Sugar-Free,Bright,Chocolate Chips,Multi-Tier,Dense,Medium,Gold Leaf,Small,Premium,"Gluten, Nuts",1 Week
Heart,Vanilla,4kg,Birthday,"Fruits, Caramel, Nuts, Cream Cheese",Whipped Cream,Fruit Compote,Regular,Bright,"Fruits, Nuts",Double,Dense,High,"Piping Art, Edible Glitter",Party Size,Standard,Gluten,3 Days
Square,Pistachio,Custom,Engagement,"Caramel, Mousse",Fondant,Fruit Compote,Low-Carb,Dark,"Marshmallows, Fruits, Caramel Drizzle",Single,Dense,High,"Chocolate Shavings, Piping Art, Gold Leaf",Party Size,Budget,Gluten,1 Week
Square,Carrot,2kg,Baby Shower,"Chocolate, Ganache, Nuts",Buttercream,Vanilla Custard,Keto-Friendly,Bright,"Caramel Drizzle, Fruits, Chocolate Chips",Single,Fluffy,High,"Gold Leaf, Fondant Figures",Medium,Luxury,"None, Nuts",1 Week
Star,Vanilla,Custom,Engagement,"Nuts, Cream Cheese, Fondant, Chocolate, Ganache",Fondant,Caramel,Sugar-Free,Rainbow,"Chocolate Chips, Caramel Drizzle, Sprinkles",Multi-Tier,Soft,Extra Sweet,Chocolate Shavings,Medium,Standard,Nuts,1 Day
Hexagon,Carrot,2.5kg,Birthday,"Buttercream, Mousse, Ganache",Royal Icing,Fruit Compote,Regular,Silver,"Marshmallows, Nuts",Single,Moist,Low,"Fondant Figures, Gold Leaf",Small,Luxury,"Dairy, Nuts",Custom
Rectangle,Gluten-Free,1.5kg,Birthday,"Ganache, Chocolate, Cream Cheese",Cream Cheese Frosting,Strawberry Jam,Low-Carb,Silver,Fruits,Single,Dense,Extra Sweet,"Chocolate Shavings, Fondant Figures, Edible Glitter",Small,Standard,Nuts,3 Days
Dome,Marble,2kg,Engagement,"Nuts, Fondant, Cream Cheese",Cream Cheese Frosting,Fruit Compote,Vegan,Monochrome,"Marshmallows, Fruits",Single,Soft,High,Edible Glitter,Medium,Standard,"None, Dairy",Custom
Heart,Chocolate,Custom,Wedding,"Cream Cheese, Buttercream, Mousse",Fondant,Nutella,Sugar-Free,Pastel,"Nuts, Caramel Drizzle, Marshmallows",Multi-Tier,Dense,Extra Sweet,Fondant Figures,Medium,Premium,None,3 Days
Dome,Pistachio,4kg,Anniversary,"Nuts, Cream Cheese, Chocolate",Ganache,Nutella,Vegan,Bright,"Fruits, Nuts, Sprinkles",Double,Fluffy,Extra Sweet,"Piping Art, Candied Fruits",Large,Standard,Gluten,Custom
Square,Coconut,4kg,Engagement,"Mousse, Cream Cheese, Fondant",Buttercream,Caramel,Vegan,Rainbow,"Marshmallows, Edible Flowers",Single,Soft,Extra Sweet,Edible Glitter,Small,Standard,Nuts,1 Week
Heart,Coconut,Custom,Festival,"Caramel, Cream Cheese, Fondant, Chocolate",Buttercream,Strawberry Jam,Low-Carb,Dark,"Caramel Drizzle, Fruits",Single,Dense,Extra Sweet,"Chocolate Shavings, Edible Glitter, Piping Art",Large,Premium,Gluten,1 Day
Heart,Carrot,5kg,Engagement,"Nuts, Chocolate",Buttercream,Strawberry Jam,Gluten-Free,Rainbow,Marshmallows,Multi-Tier,Soft,Extra Sweet,Edible Glitter,Medium,Standard,Soy,1 Week
Square,Gluten-Free,5kg,Anniversary,"Cream Cheese, Mousse, Nuts, Fondant",Fondant,Nutella,Regular,Bright,"Chocolate Chips, Sprinkles",Single,Crispy,Extra Sweet,"Gold Leaf, Piping Art, Fondant Figures",Large,Luxury,"Dairy, Nuts",3 Days
Hexagon,Coconut,0.5kg,Corporate,"Nuts, Chocolate",Ganache,Fruit Compote,Eggless,Monochrome,"Fruits, Nuts",Multi-Tier,Crispy,Medium,"Gold Leaf, Chocolate Shavings, Piping Art",Large,Standard,Gluten,1 Week
Tiered,Almond,2.5kg,Wedding,"Chocolate, Fondant",Whipped Cream,Raspberry Mousse,Vegan,Silver,"Nuts, Sprinkles, Edible Flowers",Single,Dense,High,"Chocolate Shavings, Gold Leaf",Large,Luxury,"Dairy, None",1 Week
Tiered,Carrot,0.5kg,Engagement,"Nuts, Mousse",Whipped Cream,Caramel,Low-Carb,Bright,"Chocolate Chips, Caramel Drizzle, Fruits",Multi-Tier,Dense,High,Candied Fruits,Small,Luxury,Nuts,1 Week
Round,Red Velvet,1kg,Engagement,"Cream Cheese, Fondant, Ganache, Chocolate",Fondant,Strawberry Jam,Sugar-Free,Pastel,"Edible Flowers, Chocolate Chips",Multi-Tier,Soft,Low,"Fondant Figures, Candied Fruits",Small,Luxury,"Nuts, Soy",3 Days
Heart,Marble,Custom,Baby Shower,"Cream Cheese, Fondant, Mousse",Royal Icing,Fruit Compote,Gluten-Free,Silver,"Sprinkles, Edible Flowers, Chocolate Chips",Double,Crispy,Low,"Chocolate Shavings, Gold Leaf, Piping Art",Medium,Standard,"Soy, Gluten",1 Week
Hexagon,Pistachio,0.5kg,Wedding,"Caramel, Cream Cheese, Fruits, Mousse",Buttercream,Raspberry Mousse,Regular,Rainbow,"Nuts, Edible Flowers",Single,Fluffy,Low,Candied Fruits,Large,Standard,"Soy, None",1 Week
Square,Chocolate,1.5kg,Engagement,"Mousse, Ganache, Cream Cheese, Chocolate, Fruits",Whipped Cream,Strawberry Jam,Regular,Monochrome,"Nuts, Caramel Drizzle",Single,Soft,Medium,"Candied Fruits, Gold Leaf, Fondant Figures",Large,Budget,"Soy, None",1 Day
Heart,Red Velvet,4kg,Engagement,"Caramel, Cream Cheese, Fruits",Fondant,Vanilla Custard,Low-Carb,Rainbow,Sprinkles,Double,Fluffy,High,"Candied Fruits, Fondant Figures, Gold Leaf",Large,Luxury,Nuts,1 Day
Oval,Vanilla,2kg,Baby Shower,"Nuts, Fondant, Mousse, Caramel, Chocolate",Fondant,Chocolate,Regular,Silver,"Nuts, Caramel Drizzle, Marshmallows",Multi-Tier,Dense,Extra Sweet,Piping Art,Party Size,Budget,"Gluten, Nuts",1 Week
Tiered,Pistachio,1kg,Engagement,"Caramel, Chocolate, Fruits, Cream Cheese",Fondant,Vanilla Custard,Sugar-Free,Gold,Nuts,Double,Soft,High,"Candied Fruits, Fondant Figures, Chocolate Shavings",Large,Premium,"Soy, Dairy",1 Day
Rectangle,Marble,1kg,Festival,"Ganache, Caramel, Fruits, Fondant",Whipped Cream,Caramel,Eggless,Monochrome,"Edible Flowers, Fruits, Chocolate Chips",Double,Crispy,High,"Piping Art, Fondant Figures, Candied Fruits",Medium,Budget,"Soy, None",1 Day
Tiered,Red Velvet,0.5kg,Festival,"Ganache, Buttercream, Caramel",Royal Icing,Chocolate,Regular,Bright,"Edible Flowers, Marshmallows",Single,Dense,Medium,"Fondant Figures, Edible Glitter, Gold Leaf",Large,Luxury,"Soy, Gluten",3 Days
Tiered,Coconut,Custom,Graduation,"Cream Cheese, Ganache",Cream Cheese Frosting,Caramel,Vegan,Gold,Edible Flowers,Single,Dense,Extra Sweet,Fondant Figures,Small,Premium,Gluten,Custom
Rectangle,Gluten-Free,Custom,Engagement,"Caramel, Ganache, Nuts, Chocolate",Fondant,Fruit Compote,Vegan,Bright,"Fruits, Edible Flowers",Multi-Tier,Dense,Extra Sweet,"Chocolate Shavings, Fondant Figures",Medium,Premium,Nuts,1 Week
Square,Carrot,2.5kg,Graduation,"Mousse, Buttercream, Fruits, Nuts",Whipped Cream,Caramel,Sugar-Free,Dark,"Chocolate Chips, Marshmallows, Fruits",Single,Moist,Low,Edible Glitter,Medium,Luxury,"Gluten, Dairy",1 Week
Round,Gluten-Free,2.5kg,Birthday,"Buttercream, Nuts",Royal Icing,Nutella,Gluten-Free,Pastel,Nuts,Multi-Tier,Crispy,High,Piping Art,Large,Budget,Dairy,Custom
Heart,Gluten-Free,3kg,Anniversary,"Mousse, Buttercream, Fruits",Whipped Cream,Raspberry Mousse,Gluten-Free,Silver,"Sprinkles, Caramel Drizzle, Fruits",Single,Crispy,High,Fondant Figures,Small,Luxury,"Soy, Dairy",Custom
Tiered,Almond,3kg,Anniversary,"Fruits, Fondant, Buttercream, Chocolate, Ganache",Whipped Cream,Raspberry Mousse,Sugar-Free,Gold,"Caramel Drizzle, Marshmallows, Nuts",Single,Fluffy,Extra Sweet,Fondant Figures,Medium,Premium,Dairy,1 Week
Hexagon,Marble,2.5kg,Graduation,"Buttercream, Caramel, Nuts, Fondant",Royal Icing,Nutella,Sugar-Free,Rainbow,"Sprinkles, Fruits, Nuts",Single,Soft,Medium,"Fondant Figures, Edible Glitter, Candied Fruits",Medium,Budget,"Soy, None",3 Days
Heart,Almond,4kg,Birthday,"Fruits, Caramel, Ganache, Buttercream",Buttercream,Raspberry Mousse,Gluten-Free,Dark,"Edible Flowers, Chocolate Chips, Nuts",Single,Soft,High,Piping Art,Party Size,Standard,Nuts,3 Days
Dome,Vanilla,Custom,Corporate,"Fondant, Buttercream",Cream Cheese Frosting,Chocolate,Eggless,Rainbow,"Marshmallows, Nuts",Double,Fluffy,Medium,Fondant Figures,Small,Luxury,"Dairy, Nuts",Custom
Tiered,Almond,1.5kg,Corporate,"Fondant, Cream Cheese",Whipped Cream,Caramel,Low-Carb,Pastel,"Nuts, Chocolate Chips",Single,Soft,Medium,Fondant Figures,Small,Premium,"Nuts, Soy",Custom
Tiered,Carrot,2.5kg,Corporate,"Fondant, Cream Cheese",Cream Cheese Frosting,Fruit Compote,Regular,Dark,"Caramel Drizzle, Fruits, Edible Flowers",Multi-Tier,Dense,Low,"Edible Glitter, Candied Fruits",Small,Standard,"Soy, Dairy",3 Days
Heart,Red Velvet,4kg,Graduation,"Nuts, Mousse, Buttercream",Whipped Cream,Chocolate,Sugar-Free,Gold,"Sprinkles, Fruits",Double,Dense,High,"Edible Glitter, Fondant Figures",Party Size,Premium,"Soy, Gluten",1 Week
Hexagon,Coconut,2kg,Graduation,"Fondant, Ganache, Fruits, Chocolate",Buttercream,Fruit Compote,Low-Carb,Dark,"Chocolate Chips, Edible Flowers",Multi-Tier,Soft,Extra Sweet,Piping Art,Medium,Luxury,Dairy,1 Week
Rectangle,Pistachio,2.5kg,Wedding,"Fruits, Caramel, Mousse, Fondant, Ganache",Royal Icing,Raspberry Mousse,Low-Carb,Dark,"Marshmallows, Chocolate Chips",Single,Dense,Low,"Fondant Figures, Edible Glitter",Medium,Standard,"None, Gluten",1 Day
Dome,Carrot,2.5kg,Festival,"Mousse, Caramel, Fondant",Whipped Cream,Strawberry Jam,Gluten-Free,Dark,"Caramel Drizzle, Marshmallows, Edible Flowers",Multi-Tier,Dense,Extra Sweet,"Fondant Figures, Piping Art",Medium,Luxury,"Gluten, Soy",3 Days
Tiered,Gluten-Free,3kg,Engagement,"Caramel, Ganache, Chocolate",Fondant,Caramel,Gluten-Free,Bright,"Caramel Drizzle, Fruits",Single,Moist,Low,"Gold Leaf, Chocolate Shavings, Candied Fruits",Medium,Luxury,"Dairy, None",3 Days
Square,Marble,5kg,Corporate,"Caramel, Ganache, Buttercream, Fondant",Buttercream,Caramel,Keto-Friendly,Pastel,Fruits,Multi-Tier,Dense,Medium,"Edible Glitter, Piping Art, Fondant Figures",Party Size,Budget,Nuts,1 Week
Heart,Almond,3kg,Corporate,"Fondant, Buttercream, Chocolate",Ganache,Caramel,Keto-Friendly,Monochrome,Edible Flowers,Multi-Tier,Crispy,Extra Sweet,Candied Fruits,Small,Premium,Dairy,1 Week
Heart,Coconut,1kg,Corporate,"Caramel, Ganache, Fondant",Fondant,Nutella,Keto-Friendly,Rainbow,"Fruits, Edible Flowers, Marshmallows",Single,Moist,Medium,Chocolate Shavings,Party Size,Luxury,Nuts,Custom
Tiered,Almond,5kg,Anniversary,"Mousse, Nuts",Royal Icing,Strawberry Jam,Vegan,Gold,Caramel Drizzle,Multi-Tier,Crispy,High,"Edible Glitter, Chocolate Shavings, Fondant Figures",Large,Standard,Dairy,Custom
Hexagon,Coconut,2kg,Baby Shower,"Fruits, Ganache, Mousse",Cream Cheese Frosting,Chocolate,Eggless,Gold,"Marshmallows, Sprinkles",Double,Dense,Extra Sweet,Candied Fruits,Large,Premium,Soy,Custom
Star,Vanilla,2.5kg,Festival,"Caramel, Ganache, Nuts, Mousse, Chocolate",Buttercream,Strawberry Jam,Eggless,Monochrome,Marshmallows,Multi-Tier,Dense,Extra Sweet,"Candied Fruits, Gold Leaf",Small,Luxury,"Dairy, Gluten",1 Week
Heart,Carrot,2kg,Graduation,"Nuts, Mousse",Cream Cheese Frosting,Chocolate,Sugar-Free,Gold,"Nuts, Sprinkles",Multi-Tier,Dense,Low,Candied Fruits,Medium,Budget,Dairy,Custom
Round,Coconut,Custom,Graduation,"Fondant, Ganache, Caramel",Buttercream,Caramel,Sugar-Free,Dark,"Chocolate Chips, Sprinkles",Multi-Tier,Moist,High,"Candied Fruits, Edible Glitter",Large,Luxury,"None, Soy",3 Days
Dome,Vanilla,3kg,Baby Shower,"Fruits, Buttercream, Chocolate, Ganache, Nuts",Ganache,Vanilla Custard,Keto-Friendly,Monochrome,"Chocolate Chips, Sprinkles, Fruits",Multi-Tier,Soft,High,"Fondant Figures, Candied Fruits, Gold Leaf",Small,Standard,"Soy, Nuts",Custom
Star,Almond,2.5kg,Festival,"Cream Cheese, Ganache, Mousse",Ganache,Chocolate,Vegan,Pastel,Edible Flowers,Single,Moist,High,Candied Fruits,Party Size,Luxury,"Soy, Gluten",3 Days
Oval,Red Velvet,Custom,Birthday,"Mousse, Caramel, Cream Cheese, Nuts",Ganache,Raspberry Mousse,Keto-Friendly,Monochrome,"Sprinkles, Nuts",Double,Soft,High,Fondant Figures,Party Size,Budget,Dairy,1 Day
